Date,ServiceCategory,MarketingChannel,Season,CustomerType,AdSpend,Conversions,Revenue,DayName,MonthName,Year,ConversionRate,ROI,RevenuePerConversion,CustomerFlag,Segment,SpendPerConversion,PerformanceScore,LoyaltyPotential,ChannelEfficiency,Cost_per_Conversion
2024-07-26,Smoothie,Instagram,Fall,New,132.68,3,25.66,Friday,July,2024,0.02261079288513717,0.19339764847753993,8.553333333333333,0,New_Instagram,44.22666666666667,0.004372874174198219,0.0,0.02261079288513717,44.22666666666667
2025-02-05,Smoothie,Flyers,Summer,Returning,128.27,9,232.91,Wednesday,February,2025,0.07016449676463708,1.815779215716847,25.878888888888888,1,Returning_Flyers,14.252222222222223,0.12740323490645997,1.815779215716847,0.07016449676463708,14.252222222222223
2024-06-23,Coffee,Google Ads,Summer,Returning,60.57,2,81.71,Sunday,June,2024,0.03301964668978042,1.349017665510979,40.855,1,Returning_Google Ads,30.285,0.0445440866934449,1.349017665510979,0.03301964668978042,30.285
2024-07-01,Pastry,Instagram,Fall,Returning,19.88,6,184.4,Monday,July,2024,0.18808314201505583,5.815488989814098,30.733333333333334,1,Returning_Instagram,3.313333333333333,0.5606004644868534,3.2240023204473434,0.18808314201505583,3.313333333333333
2024-08-24,Coffee,Instagram,Winter,New,13.95,9,256.37,Saturday,August,2024,0.18808314201505583,5.815488989814098,28.485555555555557,0,New_Instagram,1.5499999999999998,0.5606004644868534,0.0,0.18808314201505583,1.5499999999999998
2024-10-25,Sandwich,Google Ads,Summer,New,22.82,6,141.85,Friday,October,2024,0.18808314201505583,5.815488989814098,23.641666666666666,0,New_Google Ads,3.8033333333333332,0.5606004644868534,0.0,0.18808314201505583,3.8033333333333332
2025-03-08,Pastry,Instagram,Fall,New,156.56,8,181.26,Saturday,March,2025,0.05109862033725089,1.157766990291262,22.6575,0,New_Instagram,19.57,0.05916029587589483,0.0,0.05109862033725089,19.57
2025-03-14,Pastry,Google Ads,Fall,Returning,118.5,6,35.82,Friday,March,2025,0.05063291139240506,0.30227848101265825,5.97,1,Returning_Google Ads,19.75,0.015305239544944721,0.30227848101265825,0.05063291139240506,19.75
2025-03-13,Smoothie,Instagram,Fall,New,117.75,8,285.48,Thursday,March,2025,0.06794055201698514,2.424458598726115,35.685,0,New_Instagram,14.71875,0.1647190555397785,0.0,0.06794055201698514,14.71875
2024-06-27,Coffee,Google Ads,Summer,New,157.37,6,186.19,Thursday,June,2024,0.03812670775878503,1.1831352862680307,31.031666666666666,0,New_Google Ads,26.228333333333335,0.04510905329864767,0.0,0.03812670775878503,26.228333333333335
2025-03-14,Sandwich,Google Ads,Fall,New,35.94,7,76.69,Friday,March,2025,0.18808314201505583,2.1338341680578745,10.955714285714285,0,New_Google Ads,5.134285714285714,0.4156048741348114,0.0,0.18808314201505583,5.134285714285714
2024-05-15,Smoothie,Google Ads,Spring,Returning,88.19,9,195.72,Wednesday,May,2024,0.10205238689193787,2.2192992402766754,21.746666666666666,1,Returning_Google Ads,9.79888888888889,0.22648478469769906,2.2192992402766754,0.10205238689193787,9.79888888888889
2024-06-17,Smoothie,Referral,Summer,Returning,186.82,4,44.13,Monday,June,2024,0.021410983834707204,0.23621667915640726,11.0325,1,Returning_Referral,46.705,0.005057631498906054,0.23621667915640726,0.021410983834707204,46.705
2024-09-01,Smoothie,Instagram,Spring,Returning,85.29,10,326.42,Sunday,September,2024,0.11724703951225231,3.82717786375894,32.642,1,Returning_Instagram,8.529,0.44872527421256186,3.2240023204473434,0.11724703951225231,8.529
2024-11-20,Coffee,Instagram,Fall,Returning,11.88,4,46.59,Wednesday,November,2024,0.18808314201505583,3.9217171717171717,11.6475,1,Returning_Instagram,2.97,0.5606004644868534,3.2240023204473434,0.18808314201505583,2.97
2024-10-18,Pastry,Google Ads,Summer,New,193.44,5,125.62,Friday,October,2024,0.025847808105872623,0.6494003308519438,25.124000000000002,0,New_Google Ads,38.688,0.016785575135751237,0.0,0.025847808105872623,38.688
2024-12-30,Pastry,Instagram,Winter,Returning,130.53,8,191.44,Monday,December,2024,0.061288592660691026,1.4666360223703363,23.93,1,Returning_Instagram,16.31625,0.08988805775655168,1.4666360223703363,0.061288592660691026,16.31625
2025-01-15,Pastry,Instagram,Spring,New,112.28,9,448.25,Wednesday,January,2025,0.08015675097969362,3.9922515140719628,49.80555555555556,0,New_Instagram,12.475555555555555,0.3200059104617711,0.0,0.08015675097969362,12.475555555555555
2024-09-20,Sandwich,Google Ads,Spring,New,148.25,6,104.36,Friday,September,2024,0.04047217537942664,0.7039460370994941,17.393333333333334,0,New_Google Ads,24.708333333333332,0.0284902274711431,0.0,0.04047217537942664,24.708333333333332
2024-05-18,Smoothie,Instagram,Spring,Returning,10.31,3,140.22,Saturday,May,2024,0.18808314201505583,5.815488989814098,46.74,1,Returning_Instagram,3.436666666666667,0.5606004644868534,3.2240023204473434,0.18808314201505583,3.436666666666667
2024-07-24,Smoothie,Google Ads,Fall,New,139.4,8,57.75,Wednesday,July,2024,0.05738880918220947,0.4142754662840746,7.21875,0,New_Google Ads,17.425,0.02377477568344761,0.0,0.05738880918220947,17.425
2024-07-24,Pastry,Instagram,Fall,New,11.15,1,22.16,Wednesday,July,2024,0.08968609865470852,1.9874439461883409,22.16,0,New_Instagram,11.15,0.17824609382855075,0.0,0.08968609865470852,11.15
2024-06-14,Coffee,Flyers,Summer,New,91.63,2,87.63,Friday,June,2024,0.021826912583215105,0.9563461748335698,43.815,0,New_Flyers,45.815,0.020874084357384477,0.0,0.021826912583215105,45.815
2024-05-11,Sandwich,Instagram,Spring,New,126.98,8,271.68,Saturday,May,2024,0.06300204756654591,2.1395495353598992,33.96,0,New_Instagram,15.8725,0.1347960015977256,0.0,0.06300204756654591,15.8725
2024-12-31,Pastry,Flyers,Winter,New,136.35,8,56.77,Tuesday,December,2024,0.058672533920058674,0.4163549688302164,7.09625,0,New_Flyers,17.04375,0.024428601031475844,0.0,0.058672533920058674,17.04375
2024-07-29,Coffee,Google Ads,Fall,Returning,173.4,4,154.24,Monday,July,2024,0.02306805074971165,0.8895040369088812,38.56,1,Returning_Google Ads,43.35,0.020519124265487458,0.8895040369088812,0.02306805074971165,43.35
2024-07-12,Sandwich,Instagram,Fall,New,143.72,10,311.66,Friday,July,2024,0.06957973838018369,2.1685221263568053,31.166000000000004,0,New_Instagram,14.372,0.15088520222354615,0.0,0.06957973838018369,14.372
2025-02-25,Smoothie,Google Ads,Summer,New,68.38,8,265.32,Tuesday,February,2025,0.11699327288680901,3.880081895291021,33.165,0,New_Google Ads,8.5475,0.4539434799989495,0.0,0.11699327288680901,8.5475
2024-05-30,Pastry,Google Ads,Spring,New,57.11,8,97.35,Thursday,May,2024,0.14008054631413064,1.704605147960077,12.16875,0,New_Google Ads,7.13875,0.23878202037612709,0.0,0.14008054631413064,7.13875
2024-09-23,Smoothie,Flyers,Spring,New,125.91,2,62.82,Monday,September,2024,0.015884361845762848,0.498927805575411,31.41,0,New_Flyers,62.955,0.007925149798672242,0.0,0.015884361845762848,62.955
2024-08-02,Smoothie,Google Ads,Winter,New,192.4,1,44.91,Friday,August,2024,0.005197505197505197,0.23341995841995838,44.91,0,New_Google Ads,69.695,0.0012132014470891807,0.0,0.005197505197505197,192.4
2024-06-04,Coffee,Referral,Summer,Returning,193.35,6,95.38,Tuesday,June,2024,0.031031807602792862,0.4933023015257305,15.896666666666667,1,Returning_Referral,32.225,0.015308062110961381,0.4933023015257305,0.031031807602792862,32.225
2025-03-15,Coffee,Referral,Fall,New,82.92,8,381.61,Saturday,March,2025,0.09647853352629039,4.60214664737096,47.70125,0,New_Referral,10.365,0.44400835961128404,0.0,0.09647853352629039,10.365
2025-01-02,Sandwich,Instagram,Spring,New,42.56,7,260.02,Thursday,January,2025,0.1644736842105263,5.815488989814098,37.145714285714284,0,New_Instagram,6.08,0.5606004644868534,0.0,0.1644736842105263,6.08
2024-11-08,Pastry,Google Ads,Fall,Returning,136.0,4,105.3,Friday,November,2024,0.029411764705882353,0.774264705882353,26.325,1,Returning_Google Ads,34.0,0.02277249134948097,0.774264705882353,0.029411764705882353,34.0
2024-12-06,Coffee,Referral,Winter,New,125.6,5,55.87,Friday,December,2024,0.039808917197452234,0.4448248407643312,11.174,0,New_Referral,25.119999999999997,0.017707995253357138,0.0,0.039808917197452234,25.119999999999997
2025-02-06,Smoothie,Flyers,Summer,Returning,18.19,6,220.79,Thursday,February,2025,0.18808314201505583,5.815488989814098,36.79833333333333,1,Returning_Flyers,3.0316666666666667,0.5606004644868534,3.2240023204473434,0.18808314201505583,3.0316666666666667
2024-09-01,Pastry,Referral,Spring,Returning,93.75,4,46.43,Sunday,September,2024,0.042666666666666665,0.4952533333333333,11.6075,1,Returning_Referral,23.4375,0.021130808888888887,0.4952533333333333,0.042666666666666665,23.4375
2024-08-20,Sandwich,Google Ads,Winter,New,25.31,8,331.59,Tuesday,August,2024,0.18808314201505583,5.815488989814098,41.44875,0,New_Google Ads,3.16375,0.5606004644868534,0.0,0.18808314201505583,3.16375
2025-01-14,Smoothie,Google Ads,Spring,New,38.74,6,45.0,Tuesday,January,2025,0.15487867836861124,1.1615900877645844,7.5,0,New_Google Ads,6.456666666666667,0.17990553759905797,0.0,0.15487867836861124,6.456666666666667
2025-03-04,Smoothie,Flyers,Fall,New,60.18,1,5.67,Tuesday,March,2025,0.01661681621801263,0.09421734795613161,5.67,0,New_Flyers,60.18,0.0015655923555355866,0.0,0.01661681621801263,60.18
2025-02-13,Coffee,Google Ads,Summer,Returning,57.84,6,191.72,Thursday,February,2025,0.10373443983402489,3.3146611341632086,31.953333333333333,1,Returning_Google Ads,9.64,0.3438445159920341,3.2240023204473434,0.10373443983402489,9.64
2024-10-22,Coffee,Flyers,Summer,Returning,146.88,6,110.66,Tuesday,October,2024,0.04084967320261438,0.7534041394335512,18.44333333333333,1,Returning_Flyers,24.48,0.030776312885357485,0.7534041394335512,0.04084967320261438,24.48
2024-08-18,Sandwich,Flyers,Winter,Returning,33.11,8,205.52,Sunday,August,2024,0.18808314201505583,5.815488989814098,25.69,1,Returning_Flyers,4.13875,0.5606004644868534,3.2240023204473434,0.18808314201505583,4.13875
2025-02-02,Sandwich,Referral,Summer,Returning,172.93,5,123.03,Sunday,February,2025,0.02891343318105592,0.711443936853062,24.606,1,Returning_Referral,34.586,0.020570286730268374,0.711443936853062,0.02891343318105592,34.586
2024-09-17,Sandwich,Referral,Spring,New,76.91,1,19.32,Tuesday,September,2024,0.01300221037576388,0.2512027044597582,19.32,0,New_Referral,69.695,0.003266190410346615,0.0,0.01300221037576388,76.91
2024-08-09,Sandwich,Referral,Winter,New,65.98,5,68.23,Friday,August,2024,0.07578053955744164,1.0341012428008487,13.646,0,New_Referral,13.196000000000002,0.07836475013646928,0.0,0.07578053955744164,13.196000000000002
2025-01-24,Pastry,Google Ads,Spring,New,25.64,9,296.36,Friday,January,2025,0.18808314201505583,5.815488989814098,32.92888888888889,0,New_Google Ads,2.848888888888889,0.5606004644868534,0.0,0.18808314201505583,2.848888888888889
2024-08-27,Sandwich,Referral,Winter,Returning,74.04,6,73.43,Tuesday,August,2024,0.08103727714748783,0.9917612101566721,12.238333333333335,1,Returning_Referral,12.340000000000002,0.08036962805159416,0.9917612101566721,0.08103727714748783,12.340000000000002
2024-09-14,Coffee,Google Ads,Spring,New,70.98,9,310.44,Saturday,September,2024,0.12679628064243448,4.373626373626373,34.49333333333333,0,New_Google Ads,7.886666666666667,0.5545595570954827,0.0,0.12679628064243448,7.886666666666667
2024-12-07,Coffee,Google Ads,Winter,Returning,186.55,2,28.41,Saturday,December,2024,0.010720986330742428,0.15229161082819617,14.205,1,Returning_Google Ads,69.695,0.0016327162779758368,0.15229161082819617,0.010720986330742428,93.275
2024-06-13,Coffee,Referral,Summer,Returning,198.11,6,31.07,Thursday,June,2024,0.030286204633789306,0.15683206299530564,5.178333333333334,1,Returning_Referral,33.01833333333334,0.004749847953015162,0.15683206299530564,0.030286204633789306,33.01833333333334
2025-02-05,Smoothie,Instagram,Summer,New,144.42,8,308.86,Wednesday,February,2025,0.0553939897521119,2.1386234593546605,38.6075,0,New_Instagram,18.0525,0.11846688599111815,0.0,0.0553939897521119,18.0525
2024-06-09,Pastry,Instagram,Summer,Returning,106.79,7,322.22,Sunday,June,2024,0.06554920872740894,3.017323719449387,46.03142857142858,1,Returning_Instagram,15.255714285714287,0.19778318228434974,3.017323719449387,0.06554920872740894,15.255714285714287
2024-11-22,Coffee,Google Ads,Fall,New,67.01,2,95.79,Friday,November,2024,0.029846291598268914,1.4294881360990896,47.895,0,New_Google Ads,33.505,0.042664919746279346,0.0,0.029846291598268914,33.505
2024-10-24,Coffee,Referral,Summer,Returning,146.82,7,232.65,Thursday,October,2024,0.04767742814330473,1.5845933796485494,33.23571428571429,1,Returning_Referral,20.974285714285713,0.0755493369945501,1.5845933796485494,0.04767742814330473,20.974285714285713
2024-11-02,Coffee,Referral,Fall,New,144.17,1,30.69,Saturday,November,2024,0.0069362558091142406,0.21287369078171606,30.69,0,New_Referral,69.695,0.0014765463742922665,0.0,0.0069362558091142406,144.17
2024-12-30,Coffee,Instagram,Winter,New,144.35,5,66.29,Monday,December,2024,0.034638032559750606,0.4592310356771736,13.258000000000001,0,New_Instagram,28.869999999999997,0.01590685956623393,0.0,0.034638032559750606,28.869999999999997
2024-08-01,Pastry,Referral,Winter,Returning,81.73,7,281.2,Thursday,August,2024,0.0856478649210816,3.4405970879725922,40.17142857142857,1,Returning_Referral,11.675714285714287,0.2946797946385433,3.2240023204473434,0.0856478649210816,11.675714285714287
2024-10-03,Pastry,Google Ads,Summer,New,120.36,9,277.88,Thursday,October,2024,0.07477567298105683,2.308740445330675,30.875555555555554,0,New_Google Ads,13.373333333333333,0.17263762053818607,0.0,0.07477567298105683,13.373333333333333
2025-02-15,Pastry,Google Ads,Summer,New,62.25,10,456.65,Saturday,February,2025,0.1606425702811245,5.815488989814098,45.665,0,New_Google Ads,6.225,0.5606004644868534,0.0,0.1606425702811245,6.225
2024-10-15,Smoothie,Flyers,Summer,New,158.55,2,75.83,Tuesday,October,2024,0.012614317250078838,0.47827183853673916,37.915,0,New_Flyers,69.695,0.006033072703080909,0.0,0.012614317250078838,79.275
2025-04-21,Sandwich,Referral,Winter,Returning,118.99,9,191.23,Monday,April,2025,0.07563660811832927,1.6071098411631228,21.247777777777777,1,Returning_Referral,13.22111111111111,0.12155633725916552,1.6071098411631228,0.07563660811832927,13.22111111111111
2024-08-14,Smoothie,Referral,Winter,New,83.41,2,97.28,Wednesday,August,2024,0.023977940294928668,1.1662870159453305,48.64,0,New_Referral,41.705,0.027965160435087653,0.0,0.023977940294928668,41.705
2025-04-02,Coffee,Referral,Winter,New,37.88,3,85.92,Wednesday,April,2025,0.0791974656810982,2.2682154171066524,28.64,0,New_Referral,12.626666666666667,0.17963691265364196,0.0,0.0791974656810982,12.626666666666667
2025-04-03,Pastry,Google Ads,Winter,New,165.4,8,309.43,Thursday,April,2025,0.04836759371221282,1.8707980652962515,38.67875,0,New_Google Ads,20.675,0.09048600073984288,0.0,0.04836759371221282,20.675
2025-02-01,Pastry,Referral,Summer,New,36.68,2,67.67,Saturday,February,2025,0.05452562704471101,1.8448745910577973,33.835,0,New_Referral,18.34,0.1005929438962812,0.0,0.05452562704471101,18.34
2025-01-24,Coffee,Google Ads,Spring,New,145.5,7,167.9,Friday,January,2025,0.048109965635738834,1.1539518900343644,23.985714285714288,0,New_Google Ads,20.785714285714285,0.05551658577484915,0.0,0.048109965635738834,20.785714285714285
2024-09-16,Pastry,Referral,Spring,New,111.76,4,95.98,Monday,September,2024,0.03579098067287043,0.8588045812455262,23.995,0,New_Referral,27.94,0.03073745816913121,0.0,0.03579098067287043,27.94
2025-02-04,Smoothie,Google Ads,Summer,New,11.17,3,118.83,Tuesday,February,2025,0.18808314201505583,5.815488989814098,39.61,0,New_Google Ads,3.723333333333333,0.5606004644868534,0.0,0.18808314201505583,3.723333333333333
2024-12-15,Smoothie,Google Ads,Winter,Returning,75.34,9,343.6,Sunday,December,2024,0.11945845500398194,4.560658348818689,38.17777777777778,1,Returning_Google Ads,8.371111111111112,0.544809200150892,3.2240023204473434,0.11945845500398194,8.371111111111112
2025-01-28,Smoothie,Flyers,Spring,New,130.34,8,189.88,Tuesday,January,2025,0.06137793463249962,1.4568052785023784,23.735,0,New_Flyers,16.2925,0.08941569915619939,0.0,0.06137793463249962,16.2925
2024-11-20,Smoothie,Google Ads,Fall,Returning,100.06,1,40.84,Wednesday,November,2024,0.009994003597841295,0.4081551069358385,40.84,1,Returning_Google Ads,69.695,0.004079103607194068,0.4081551069358385,0.009994003597841295,100.06
2024-09-19,Smoothie,Instagram,Spring,New,152.67,5,236.76,Thursday,September,2024,0.03275037662933124,1.5507958341520929,47.352,0,New_Instagram,30.534,0.05078914764367894,0.0,0.03275037662933124,30.534
2024-06-06,Pastry,Referral,Summer,New,155.14,5,147.12,Thursday,June,2024,0.03222895449271626,0.9483047569936832,29.424,0,New_Referral,31.028,0.03056287085837577,0.0,0.03222895449271626,31.028
2024-10-02,Pastry,Flyers,Summer,Returning,158.34,1,46.45,Wednesday,October,2024,0.0063155235569028675,0.29335606921813817,46.45,1,Returning_Flyers,69.695,0.0018526971657075798,0.29335606921813817,0.0063155235569028675,158.34
2025-04-25,Pastry,Instagram,Winter,New,18.92,10,194.88,Friday,April,2025,0.18808314201505583,5.815488989814098,19.488,0,New_Instagram,1.8920000000000001,0.5606004644868534,0.0,0.18808314201505583,1.8920000000000001
2024-11-27,Coffee,Flyers,Fall,New,12.44,3,131.21,Wednesday,November,2024,0.18808314201505583,5.815488989814098,43.73666666666667,0,New_Flyers,4.1466666666666665,0.5606004644868534,0.0,0.18808314201505583,4.1466666666666665
2025-03-21,Smoothie,Instagram,Fall,Returning,96.94,1,22.2,Friday,March,2025,0.010315659170621003,0.22900763358778625,22.2,1,Returning_Instagram,69.695,0.0023623646955620616,0.22900763358778625,0.010315659170621003,96.94
2025-03-10,Sandwich,Google Ads,Fall,New,156.69,2,13.65,Monday,March,2025,0.012764056417129363,0.0871146850469079,6.825,0,New_Google Ads,69.695,0.0011119367546991883,0.0,0.012764056417129363,78.345
2025-02-10,Sandwich,Instagram,Summer,New,42.35,7,209.54,Monday,February,2025,0.1652892561983471,4.947815820543093,29.934285714285714,0,New_Instagram,6.05,0.5606004644868534,0.0,0.1652892561983471,6.05
2024-09-03,Pastry,Instagram,Spring,New,47.56,1,29.29,Tuesday,September,2024,0.021026072329688814,0.6158536585365854,29.29,0,New_Instagram,47.56,0.012948983568893721,0.0,0.021026072329688814,47.56
2025-02-22,Coffee,Referral,Summer,Returning,116.57,1,9.15,Saturday,February,2025,0.008578536501672816,0.07849360899030626,9.15,1,Returning_Referral,69.695,0.0006733602898713757,0.07849360899030626,0.008578536501672816,116.57
2025-04-14,Smoothie,Flyers,Winter,Returning,97.6,8,238.1,Monday,April,2025,0.0819672131147541,2.439549180327869,29.7625,1,Returning_Flyers,12.2,0.19996304756785813,2.439549180327869,0.0819672131147541,12.2
2024-07-10,Sandwich,Flyers,Fall,New,95.64,1,26.25,Wednesday,July,2024,0.010455876202425763,0.2744667503136763,26.25,0,New_Flyers,69.695,0.0028697903629619015,0.0,0.010455876202425763,95.64
2024-12-16,Smoothie,Google Ads,Winter,New,56.05,8,176.98,Monday,December,2024,0.14272970561998216,3.1575379125780554,22.1225,0,New_Google Ads,7.00625,0.4506744567461988,0.0,0.14272970561998216,7.00625
2024-09-26,Smoothie,Instagram,Spring,Returning,81.05,6,284.09,Thursday,September,2024,0.07402837754472548,3.50512029611351,47.34833333333333,1,Returning_Instagram,13.508333333333333,0.2594783686203709,3.2240023204473434,0.07402837754472548,13.508333333333333
2024-05-21,Sandwich,Instagram,Spring,Returning,100.83,3,19.62,Tuesday,May,2024,0.02975304968759298,0.1945849449568581,6.54,1,Returning_Instagram,33.61,0.005789495535758944,0.1945849449568581,0.02975304968759298,33.61
2024-09-22,Sandwich,Flyers,Spring,New,60.37,2,50.11,Sunday,September,2024,0.03312903760145768,0.8300480371045221,25.055,0,New_Flyers,30.185,0.027498692632251857,0.0,0.03312903760145768,30.185
2024-10-25,Coffee,Google Ads,Summer,Returning,68.92,5,205.27,Friday,October,2024,0.07254788160185723,2.9783807312826465,41.054,1,Returning_Google Ads,13.784,0.21607521265834637,2.9783807312826465,0.07254788160185723,13.784
2024-10-08,Pastry,Flyers,Summer,New,135.27,2,47.93,Tuesday,October,2024,0.014785244326162489,0.35432838027648406,23.965,0,New_Flyers,67.635,0.00523883167408123,0.0,0.014785244326162489,67.635
2024-10-05,Smoothie,Flyers,Summer,Returning,67.69,10,157.12,Saturday,October,2024,0.14773230905599055,2.3211700398877237,15.712,1,Returning_Flyers,6.769,0.3429118097041991,2.3211700398877237,0.14773230905599055,6.769
2025-04-24,Pastry,Instagram,Winter,New,62.18,10,189.02,Thursday,April,2025,0.16082341588935348,3.0398842071405596,18.902,0,New_Instagram,6.218,0.4888845621004438,0.0,0.16082341588935348,6.218
2024-10-29,Pastry,Flyers,Summer,New,95.93,1,31.48,Tuesday,October,2024,0.010424267695194412,0.32815594704472006,31.48,0,New_Flyers,69.695,0.0034207854377642033,0.0,0.010424267695194412,95.93
2025-02-19,Sandwich,Referral,Summer,Returning,136.15,4,101.93,Wednesday,February,2025,0.029379360998898273,0.7486595666544252,25.4825,1,Returning_Referral,34.0375,0.0219951396740191,0.7486595666544252,0.029379360998898273,34.0375
2025-04-01,Coffee,Referral,Winter,New,153.55,2,65.15,Tuesday,April,2025,0.013025073266037121,0.4242917616411592,32.575,0,New_Referral,69.695,0.005526431281552058,0.0,0.013025073266037121,76.775
2024-07-11,Sandwich,Google Ads,Fall,Returning,92.97,6,207.02,Thursday,July,2024,0.06453694740238787,2.2267398085403896,34.50333333333334,1,Returning_Google Ads,15.495,0.14370698990257436,2.2267398085403896,0.06453694740238787,15.495
2025-02-13,Coffee,Google Ads,Summer,New,50.39,2,36.0,Thursday,February,2025,0.03969041476483429,0.7144274657670172,18.0,0,New_Google Ads,25.195,0.028355922435682367,0.0,0.03969041476483429,25.195
2024-09-14,Smoothie,Google Ads,Spring,New,155.33,3,143.04,Saturday,September,2024,0.019313719178523144,0.9208781304319834,47.68,0,New_Google Ads,51.77666666666667,0.017785581608806736,0.0,0.019313719178523144,51.77666666666667
2024-11-01,Pastry,Instagram,Fall,New,110.77,1,6.48,Friday,November,2024,0.009027715085311907,0.05849959375282117,6.48,0,New_Instagram,69.695,0.0005281176650069619,0.0,0.009027715085311907,110.77
2025-04-30,Coffee,Google Ads,Winter,Returning,86.48,9,262.53,Wednesday,April,2025,0.10407030527289546,3.03573080481036,29.169999999999998,1,Returning_Google Ads,9.60888888888889,0.3159294315829468,3.03573080481036,0.10407030527289546,9.60888888888889
2024-09-01,Sandwich,Google Ads,Spring,New,58.63,9,238.95,Sunday,September,2024,0.15350503155381204,4.07555858775371,26.549999999999997,0,New_Google Ads,6.514444444444445,0.5606004644868534,0.0,0.15350503155381204,6.514444444444445
2024-06-26,Sandwich,Google Ads,Summer,Returning,61.01,5,232.11,Wednesday,June,2024,0.081953778069169,3.8044582855269633,46.422000000000004,1,Returning_Google Ads,12.202,0.31178973000548793,3.2240023204473434,0.081953778069169,12.202
2024-10-24,Pastry,Google Ads,Summer,New,32.93,1,8.92,Thursday,October,2024,0.030367446097783177,0.2708776191922259,8.92,0,New_Google Ads,32.93,0.008225861499915759,0.0,0.030367446097783177,32.93
2024-05-18,Coffee,Referral,Spring,Returning,125.71,10,160.33,Saturday,May,2024,0.07954816641476414,1.2753957521279136,16.033,1,Returning_Referral,12.571,0.10145539353495454,1.2753957521279136,0.07954816641476414,12.571
2025-02-26,Coffee,Instagram,Summer,New,33.8,6,202.46,Wednesday,February,2025,0.1775147928994083,5.815488989814098,33.74333333333333,0,New_Instagram,5.633333333333333,0.5606004644868534,0.0,0.1775147928994083,5.633333333333333
2024-07-31,Smoothie,Referral,Fall,Returning,180.08,8,304.9,Wednesday,July,2024,0.0444247001332741,1.693136383829409,38.1125,1,Returning_Referral,22.51,0.07521707613635757,1.693136383829409,0.0444247001332741,22.51
2024-06-23,Smoothie,Instagram,Summer,New,133.84,3,83.37,Sunday,June,2024,0.022414823670053794,0.622907949790795,27.790000000000003,0,New_Instagram,44.61333333333334,0.013962371857235392,0.0,0.022414823670053794,44.61333333333334
2024-12-04,Smoothie,Referral,Winter,New,197.24,1,32.62,Wednesday,December,2024,0.005069965524234435,0.16538227540052725,32.62,0,New_Referral,69.695,0.0008384824346001177,0.0,0.005069965524234435,197.24
2024-08-17,Smoothie,Flyers,Winter,Returning,157.55,10,391.03,Saturday,August,2024,0.06347191367819739,2.4819422405585523,39.102999999999994,1,Returning_Flyers,15.755,0.15753362364700427,2.4819422405585523,0.06347191367819739,15.755
2024-07-23,Sandwich,Google Ads,Fall,Returning,146.57,8,94.26,Tuesday,July,2024,0.05458142866889541,0.6431056832912602,11.7825,1,Returning_Google Ads,18.32125,0.03510162697912316,0.6431056832912602,0.05458142866889541,18.32125
2024-12-22,Coffee,Flyers,Winter,Returning,28.35,10,467.30875000000003,Sunday,December,2024,0.18808314201505583,5.815488989814098,46.730875000000005,1,Returning_Flyers,2.835,0.5606004644868534,3.2240023204473434,0.18808314201505583,2.835
2025-04-29,Sandwich,Flyers,Winter,Returning,34.37,5,128.71,Tuesday,April,2025,0.14547570555717196,3.744835612452721,25.742,1,Returning_Flyers,6.874,0.5447826029171837,3.2240023204473434,0.14547570555717196,6.874
2025-03-01,Pastry,Instagram,Fall,New,21.94,8,154.0,Saturday,March,2025,0.18808314201505583,5.815488989814098,19.25,0,New_Instagram,2.7425,0.5606004644868534,0.0,0.18808314201505583,2.7425
2024-06-12,Coffee,Flyers,Summer,Returning,66.5,8,145.74,Wednesday,June,2024,0.12030075187969924,2.1915789473684213,18.2175,1,Returning_Flyers,8.3125,0.2636485951721409,2.1915789473684213,0.12030075187969924,8.3125
2024-08-04,Smoothie,Google Ads,Winter,Returning,176.26,2,13.26,Sunday,August,2024,0.01134687393623057,0.07522977419720867,6.63,1,Returning_Google Ads,69.695,0.000853622764066818,0.07522977419720867,0.01134687393623057,88.13
2024-09-09,Coffee,Google Ads,Spring,New,199.13,9,415.28,Monday,September,2024,0.04519660523276252,2.0854718023401797,46.142222222222216,0,New_Google Ads,22.125555555555554,0.09425624577442684,0.0,0.04519660523276252,22.125555555555554
2025-01-17,Coffee,Google Ads,Spring,Returning,187.57,8,184.99,Friday,January,2025,0.04265074372234366,0.9862451351495443,23.12375,1,Returning_Google Ads,23.44625,0.0420640885066714,0.9862451351495443,0.04265074372234366,23.44625
2025-02-05,Coffee,Google Ads,Summer,New,17.66,6,55.61,Wednesday,February,2025,0.18808314201505583,3.148924122310306,9.268333333333333,0,New_Google Ads,2.9433333333333334,0.5606004644868534,0.0,0.18808314201505583,2.9433333333333334
2025-04-18,Sandwich,Flyers,Winter,Returning,13.72,8,67.09,Friday,April,2025,0.18808314201505583,4.889941690962099,8.38625,1,Returning_Flyers,1.715,0.5606004644868534,3.2240023204473434,0.18808314201505583,1.715
2024-06-30,Smoothie,Google Ads,Summer,Returning,27.44,10,108.91,Sunday,June,2024,0.18808314201505583,3.96902332361516,10.891,1,Returning_Google Ads,2.744,0.5606004644868534,3.2240023204473434,0.18808314201505583,2.744
2024-06-03,Smoothie,Google Ads,Summer,Returning,186.62,9,208.29,Monday,June,2024,0.048226342299860676,1.116118315293109,23.14333333333333,1,Returning_Google Ads,20.735555555555557,0.05382630392046929,1.116118315293109,0.048226342299860676,20.735555555555557
